Rank,Name,Points,Game Time,Kills,Deaths,Kpd,Hs,Country
315,1635673895,"1,015",0d 00:09h,0,0,0.00,0,China
316,SL1WA_MARL0W,"1,015",0d 00:05h,0,0,0.00,0,"Korea, Republic of"
317,SempakKobra,"1,015",0d 00:05h,0,0,0.00,0,Indonesia
318,RZK,"1,015",0d 00:03h,0,0,0.00,0,Indonesia
319,雪乃的白子,"1,015",0d 00:01h,0,0,0.00,0,China
320,Cheesemasher,"1,015",0d 00:05h,0,0,0.00,0,"Taiwan, Province of China"
321,窝瓜,"1,015",0d 00:02h,0,0,0.00,0,China
322,MR.sins,"1,015",0d 00:05h,0,0,0.00,0,Unknown
323,翔,"1,015",0d 00:03h,0,0,0.00,0,China
324,sage652124,"1,015",0d 00:06h,0,0,0.00,0,China
325,AndersonLiu,"1,015",0d 00:04h,0,0,0.00,0,"Taiwan, Province of China"
326,-=Dx=- ✪Master→βation✪,"1,014",0d 00:09h,3,10,0.30,1,"Taiwan, Province of China"
327,Tanaton,"1,013",0d 00:03h,2,5,0.40,1,Thailand
328,barrsan,"1,013",0d 00:03h,0,1,0.00,0,Singapore
329,pp456,"1,013",0d 00:15h,0,3,0.00,0,China
330,ljames110110,"1,012",0d 00:10h,0,0,0.00,0,Australia
331,ron12,"1,011",0d 00:02h,0,0,0.00,0,Philippines
332,Doodles ♛,"1,010",0d 00:02h,2,1,2.00,0,New Zealand
333,Arale,"1,010",0d 00:02h,1,0,1.00,0,"Taiwan, Province of China"
334,fREEZIN,"1,010",0d 00:04h,1,0,1.00,0,Saudi Arabia
335,Syazwan_1,"1,009",0d 01:10h,10,9,1.11,7,Malaysia
336,illil,"1,009",0d 00:00h,1,1,1.00,1,China
337,苏坡满,"1,008",0d 00:04h,1,1,1.00,1,China
338,Mathsniper,"1,008",0d 00:04h,1,1,1.00,1,Macao
339,asdf123,"1,008",0d 00:05h,0,4,0.00,0,China
340,喇嚨,"1,007",0d 00:25h,2,5,0.40,0,"Taiwan, Province of China"
341,飒飒,"1,006",0d 00:02h,2,3,0.67,2,China
342,LV.1,"1,006",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
343,龙诚^^,"1,006",0d 00:02h,0,0,0.00,0,China
344,aaay,"1,006",0d 00:04h,0,0,0.00,0,China
345,KarriGan,"1,006",0d 00:01h,0,0,0.00,0,China
346,Timmu Somjoy,"1,006",0d 00:04h,0,0,0.00,0,Thailand
347,lgb1305936,"1,006",0d 00:06h,0,0,0.00,0,China
348,（。人。）ლ（´∀`ლ,"1,005",0d 00:02h,1,0,1.00,1,"Taiwan, Province of China"
349,Yuzu,"1,005",0d 00:03h,1,3,0.33,0,Philippines
350,fengzhigu,"1,005",0d 00:02h,0,0,0.00,0,China
351,mailman,"1,005",0d 00:04h,0,0,0.00,0,Philippines
352,MANILAJAY,"1,005",0d 00:03h,0,0,0.00,0,Philippines
353,かすがのそら,"1,005",0d 00:04h,0,1,0.00,0,China
354,Yoreii,"1,005",0d 00:02h,0,0,0.00,0,China
355,Blydogidogg,"1,005",0d 00:02h,0,1,0.00,0,Philippines
356,Luna♥,"1,005",0d 00:10h,0,0,0.00,0,Philippines
357,Kremzlik,"1,003",0d 00:02h,0,2,0.00,0,China
358,上学忘带餐具了，哥哥倀,"1,002",0d 00:02h,2,2,1.00,0,China
359,姜姜,"1,002",0d 00:01h,0,0,0.00,0,China
