Rank,Name,Points,Game Time,Kills,Deaths,Kpd,Hs,Country
397,麦田里的守望者,"1,001",0d 00:01h,0,0,0.00,0,China
398,JanOh,"1,001",0d 00:02h,0,0,0.00,0,Philippines
399,love_45612,"1,001",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
400,Gatty,"1,001",0d 00:01h,0,0,0.00,0,China
401,流心月饼,"1,001",0d 00:02h,0,0,0.00,0,China
402,m0nesy,"1,001",0d 00:01h,0,0,0.00,0,China
403,VietCongGangz,"1,000",0d 00:03h,5,0,5.00,3,Viet Nam
404,[TW]天黑洗馬眼,"1,000",0d 00:09h,2,3,0.67,1,"Taiwan, Province of China"
405,Capt.Fcuk,"1,000",0d 00:15h,5,10,0.50,3,Thailand
406,不响完啦,"1,000",0d 00:13h,3,8,0.38,1,China
407,／人◕ ‿‿ ◕人＼,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
408,Lowell,"1,000",0d 00:00h,0,0,0.00,0,China
409,Wends,"1,000",0d 00:00h,0,0,0.00,0,Thailand
410,白脸,"1,000",0d 00:00h,0,0,0.00,0,Unknown
411,metal43v3r,"1,000",0d 00:00h,0,0,0.00,0,Thailand
412,Self-adjusting,"1,000",0d 00:00h,0,0,0.00,0,China
413,Virkato,"1,000",0d 00:00h,0,0,0.00,0,Singapore
414,dslocsin7,"1,000",0d 00:02h,0,0,0.00,0,Philippines
415,不关橙猫猫的事哦,"1,000",0d 00:09h,0,0,0.00,0,China
416,PIWW,"1,000",0d 00:11h,0,0,0.00,0,Indonesia
417,ヒーローネコ,"1,000",0d 00:46h,0,0,0.00,0,Malaysia
418,夢華（梦华） モンファ,"1,000",0d 00:00h,0,0,0.00,0,Thailand
419,Allahu Akbar,"1,000",0d 00:00h,0,0,0.00,0,Unknown
420,QualitySoup,"1,000",0d 00:00h,0,0,0.00,0,Unknown
421,sNICkER_101,"1,000",0d 00:00h,0,0,0.00,0,Hong Kong
422,我还有机会吗 ？,"1,000",0d 00:04h,0,0,0.00,0,China
423,꽃보????!,"1,000",0d 00:06h,0,0,0.00,0,Japan
424,donk666,"1,000",0d 00:01h,0,0,0.00,0,China
425,Cosmicbeam27,"1,000",0d 00:00h,0,0,0.00,0,Indonesia
426,深见夏彦,"1,000",0d 00:00h,0,0,0.00,0,Unknown
427,AlleyBosS,"1,000",0d 00:03h,0,0,0.00,0,Philippines
428,丢雷楼某,"1,000",0d 00:24h,0,0,0.00,0,China
429,gt2r911,"1,000",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
430,ctchen.alex,"1,000",0d 00:12h,0,0,0.00,0,"Taiwan, Province of China"
431,我是流萤的勾,"1,000",0d 00:01h,0,0,0.00,0,China
432,Me,"1,000",0d 00:00h,0,0,0.00,0,Unknown
433,WizLC,"1,000",0d 00:01h,0,0,0.00,0,China
434,beastjoy,"1,000",0d 00:00h,0,0,0.00,0,Unknown
435,坂本竜馬,"1,000",0d 00:01h,0,0,0.00,0,Malaysia
436,Crowley,"1,000",0d 00:00h,0,0,0.00,0,Philippines
437,normalguy,"1,000",0d 00:00h,0,0,0.00,0,Malaysia
438,小莫先生,"1,000",0d 00:00h,0,0,0.00,0,Unknown
439,别再勾引我kaixiang,"1,000",0d 00:00h,0,0,0.00,0,Unknown
440,F4LL3N_H4L0,"1,000",0d 00:02h,0,0,0.00,0,Philippines
441,GAL,"1,000",0d 00:00h,0,0,0.00,0,China
442,n88slq,"1,000",0d 00:00h,0,0,0.00,0,Unknown
443,奈白的雪子,"1,000",0d 00:02h,0,0,0.00,0,China
444,染卿,"1,000",0d 00:00h,0,0,0.00,0,Unknown
445,Aur0ral,"1,000",0d 00:00h,0,0,0.00,0,Unknown
446,stay with me,"1,000",0d 00:00h,0,0,0.00,0,Unknown
447,leonardo,"1,000",0d 00:02h,0,0,0.00,0,China
448,yorangsama,"1,000",0d 00:00h,0,0,0.00,0,Unknown
449,ChiChi77,"1,000",0d 01:02h,0,0,0.00,0,"Taiwan, Province of China"
450,spacecow,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
451,mikunodisappear,"1,000",0d 00:28h,0,0,0.00,0,"Taiwan, Province of China"
452,SaekiYuu,"1,000",0d 00:01h,0,0,0.00,0,China
453,:3 mint chocolate,"1,000",0d 00:06h,0,0,0.00,0,Thailand
454,nmo_zukuto_m2,"1,000",0d 00:04h,0,0,0.00,0,Indonesia
455,任我縱情,"1,000",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
456,Steve,"1,000",0d 00:01h,0,0,0.00,0,China
457,r3nogades,"1,000",0d 00:00h,0,0,0.00,0,Indonesia
458,裙角飞扬,"1,000",0d 00:00h,0,0,0.00,0,Unknown
459,qaz0955987235,"1,000",0d 00:02h,0,0,0.00,0,"Taiwan, Province of China"
460,百變怪,"1,000",0d 00:03h,0,0,0.00,0,"Taiwan, Province of China"
461,rhodium101602,"1,000",0d 00:00h,0,0,0.00,0,Unknown
462,卡卡罗特,"1,000",0d 00:10h,0,0,0.00,0,China
463,DrMeeksss,"1,000",0d 00:00h,0,0,0.00,0,Philippines
464,Jeriii,"1,000",0d 00:01h,0,0,0.00,0,Indonesia
465,KnightEagle81,"1,000",0d 00:00h,0,0,0.00,0,Unknown
466,一生只爱邮箱酱,"1,000",0d 00:21h,0,0,0.00,0,China
467,CodeRed,"1,000",0d 00:00h,0,0,0.00,0,Unknown
468,炸鸡块,"1,000",0d 00:02h,0,0,0.00,0,China
469,凉,"1,000",0d 00:00h,0,0,0.00,0,China
470,>烤冷面痧手>Sjk,"1,000",0d 00:00h,0,0,0.00,0,Unknown
471,lzl03032,"1,000",0d 00:03h,0,0,0.00,0,China
472,yz,"1,000",0d 00:00h,0,0,0.00,0,Unknown
473,陈石头,"1,000",0d 00:00h,0,0,0.00,0,China
474,叶子,"1,000",0d 00:00h,0,0,0.00,0,Unknown
475,zaq09700117qaz,"1,000",0d 00:00h,0,0,0.00,0,"Taiwan, Province of China"
